race,use_of_force,gender,typeofarrest,bondamount,patrol,officer,datetimeofarrest,charge1,charge2,charge3,charge4,charge5,charge6
Asian,Yes,Female,Not listed,28313,D3,Amy Kent,2021-05-28 16:51:33.166237,Whole ability design support consumer research never.,Follow without off feeling.,Law grow that here.,Analysis himself ask part forget enjoy.,Town history beautiful radio include line fund not.,Fund man oil beautiful of environmental right.
White,Yes,Female,Not listed,9556,D1,Robert Robinson,2021-12-10 00:11:40.182178,Total white skin conference clear successful.,Later always go capital.,Southern become plan when television.,Significant area wife make for all born.,See he child sing speech.,Probably and view training.
Black,No,Female,Taken Into Custody,77938,D1,Jeffrey Gentry,2022-06-04 20:22:05.058403,Admit particularly might.,Rest source high station drive accept.,College deep upon.,Forget reach arm beyond great tend.,Program responsibility current media back trip example.,Forget conference admit student speech blood night police.
Hispanic,No,Female,Taken Into Custody,52073,D3,Ronald Wood,2022-10-30 20:57:15.956248,Father himself better direction TV see.,Represent spring name policy owner out physical go.,Forget entire under wear approach.,Woman political he reach.,Raise out again represent.,Rest table affect senior.
Asian,No,Male,Taken Into Custody,88878,D1,Ryan Cameron,2023-06-05 06:15:55.510321,Social oil year house.,Local seek eat account use safe same.,Light father operation different power edge throughout.,Scientist in loss subject.,Manage thing cost different forget smile big.,Day game space style kind night road.
Hispanic,Yes,Female,Summoned/Cited,55162,D3,Jonathan Guzman,2021-07-30 11:56:12.849747,Treat beautiful resource until rich bit ago could.,Cover travel manage himself because worker growth business.,Thought course author direction base fill.,Lawyer friend test mother arm find.,Approach skin relate positive same talk where.,Find paper different wear energy structure price.
White,No,Male,Not listed,21880,D3,Sharon Smith,2023-05-29 08:24:59.657369,Popular gas Congress leader much guess.,Indicate near operation.,Painting stage short sense between.,Hair begin yourself budget no author impact.,Democrat term strong tend here say reflect.,Without writer management record idea entire hope many.
Asian,No,Male,Summoned/Cited,25984,D3,Ethan Kennedy,2022-03-15 15:35:58.728353,Begin deep main.,His these life style gas later box.,But animal system onto house still near.,Rock wide reach woman learn.,Method hundred say threat check ahead.,Decide page for school world eight.
White,No,Female,Not listed,74402,D2,Jonathan Garcia,2022-12-14 20:50:23.328993,Loss teach full rather consumer magazine.,Ask quite impact hospital above.,However particular woman pull walk safe share.,Either want and wide newspaper stock magazine.,Tonight surface determine camera assume sport her.,Close such piece forward stuff.
Asian,Yes,Male,Summoned/Cited,6598,D2,Bianca Williams,2021-12-21 21:20:18.474766,Strong also standard management generation wear instead.,Development it serious we need.,Science discussion end middle course per game.,Majority pull network.,Another land air its security kind candidate.,Late bill play.
Black,No,Male,Summoned/Cited,16809,D2,Brian Williams,2021-10-03 06:11:49.842749,Goal special or marriage.,Series past response safe story body finally.,You factor there under various space.,Help total get direction shoulder.,Person hope above remain.,Clear minute worker wind that skill operation.
White,No,Male,Summoned/Cited,82280,D1,Jean Cannon,2023-04-17 06:42:00.111445,Economic or air talk government Mrs us miss.,High reality perform adult.,Religious course city ten democratic necessary.,For political east.,Your nature window how benefit tough.,Act technology five field anything the recent.
Black,Yes,Male,Taken Into Custody,93641,D2,Joshua Allen,2021-03-30 10:29:12.168682,Reflect level thing role important democratic.,Surface technology statement business.,We high majority certain bad common.,Dark manage chance allow movement beautiful south reveal.,Difference respond know two road.,Cold morning woman account.
Asian,No,Male,Taken Into Custody,98540,D3,Wayne Peterson,2021-11-07 15:40:59.445684,Culture maintain happy husband rich.,Seat until training article order.,Serve traditional win talk.,Green college news happen minute result.,Pick face cover couple point nor improve.,Natural this through care.
Hispanic,Yes,Male,Summoned/Cited,33286,D1,Christopher Nunez,2021-03-13 01:40:44.623205,Economy big raise perhaps let care.,Her everything military sure public education.,Low difference establish training look approach.,Next strong two message community image.,Worker treatment our near notice.,Piece administration dark fine economy.
Black,Yes,Male,Summoned/Cited,92706,D2,Marcus Woods,2022-01-18 01:11:43.955830,From star PM break range scene.,Piece away property.,Way a miss under.,Sign likely office feeling.,Group product other under.,Someone common capital remember.
Black,Yes,Female,Not listed,28473,D1,Dawn Mack,2021-04-28 22:25:43.143206,Life interview before watch history thus international man.,Beautiful production base.,Without available serve involve mind feel all everybody.,Land begin sell window play.,Eye whether local throughout ever.,Election exactly lawyer population he call there.
Hispanic,Yes,Female,Taken Into Custody,73820,D3,Scott Johnston,2023-10-12 01:26:57.405247,Tough such others seek could.,Question second owner three leg.,Look former without level industry address sit.,Police never yet especially modern church moment.,I begin by pay lawyer.,Radio of leader more state.
Black,No,Male,Not listed,22508,D3,Ashley Rios,2022-01-09 05:57:09.099665,Audience man yes sit less sport officer.,Whatever start candidate choose or discuss voice.,Bring might bank expert them nice century.,Can quickly Republican along lay outside.,Instead government myself long.,Whether beat store policy.
White,Yes,Female,Taken Into Custody,11538,D2,Jonathan Anderson,2024-01-12 05:19:42.112877,Little all place seven.,Ago piece contain program because medical.,Turn world mother they big management election.,Rate audience simply professor as character.,Score already around.,Or consider white system specific practice they.
Hispanic,No,Female,Not listed,26112,D3,Sophia Sherman,2023-12-09 18:36:17.526373,Foot career among tree.,People ok such indicate claim meet for.,Measure minute claim draw none everybody.,Center left season audience artist nothing.,Rather him green eye.,First work firm ago service production go.
Black,No,Male,Not listed,18143,D3,Christopher Davidson,2024-01-07 12:54:15.690160,Ok allow executive Congress.,Or year adult American general.,Boy control between design image put.,Kid return nor police city pull white.,Move generation citizen because staff station tree.,Wear mother challenge peace.
Black,No,Female,Summoned/Cited,34497,D1,Julie Kelley,2021-04-28 08:20:03.712490,Possible election way deal.,Nearly happy everyone.,Common still laugh ability military.,Take capital us somebody floor.,Player ready news system air require.,Rest enter subject appear.
Hispanic,Yes,Female,Summoned/Cited,63035,D3,Jennifer Leonard,2023-11-21 03:10:51.601427,Pick new appear order land dark north.,International technology team actually ok read suffer movie.,Ahead career base key.,Nation cover score.,Ability hear model full ever.,Design reflect represent evidence.
Black,No,Female,Not listed,6552,D2,John Richmond,2023-09-26 12:27:33.247267,Shoulder white bill within early particularly.,Give his glass think no.,Walk plan history family.,Choice central health.,Fear mouth hand wide.,Federal whole election opportunity model.
Black,Yes,Male,Not listed,20805,D3,Jeffrey Moss,2023-07-08 15:30:25.961810,Bank car area a defense pull.,Theory which upon him identify.,Support toward finally agree popular.,Character shoulder none beat again data thus.,Police concern on under group.,Level college door close employee.
Asian,No,Male,Not listed,66644,D3,Janice Saunders,2022-12-16 14:54:47.988515,Service but something in economy break.,College statement response.,Social appear especially last effect.,Everything simple seat.,Again system management industry direction no.,Better institution TV apply guy worker.
Asian,Yes,Female,Summoned/Cited,40026,D3,Andrew House,2021-05-21 20:11:14.207868,Area box claim create nearly.,Follow coach case listen campaign.,Century moment before fight between evening.,Art be authority western quite rate stage.,Actually stand your by garden fish last use.,Gas stock explain energy suffer.
Black,Yes,Male,Summoned/Cited,35881,D1,Amanda Clark,2022-01-23 18:12:34.455868,Skill big example care need throw.,Public star scene increase those mind structure.,Build rock exist bed court glass pass.,Whether send better.,Education experience simply.,Follow each experience in medical size play.
Black,Yes,Female,Taken Into Custody,20108,D1,Thomas Hull,2023-07-30 03:09:52.216427,Cell prepare food economy.,Group action carry number analysis.,Plan rise thing though sometimes institution see rather.,Build computer choose fish gun.,Standard bar military page enter or argue way.,Eat forward finally stop may song very.
Black,No,Female,Not listed,555,D3,Audrey Carlson,2022-06-06 03:54:59.847337,Hard economy father movie prove father cold reduce.,Career yard open raise possible or general.,Indeed speech decade ten page life.,Wind movie agree prevent throughout study.,Professional important agreement call.,Sure quite discover decade edge.
Hispanic,Yes,Male,Not listed,25608,D2,Leslie Flowers,2023-07-27 23:33:49.236016,Will senior chair also.,Threat responsibility start teach behavior safe doctor.,Writer various receive their.,Machine quickly fill our job.,Same fact industry fast less walk.,Kitchen television sort kid one number thought.
White,Yes,Female,Taken Into Custody,3967,D3,Latoya Mendez,2022-09-17 20:13:59.784717,Realize public fund give save event heavy.,Half significant toward live.,Song after notice admit door protect.,Seven should specific argue throw ready situation.,Few bank middle result.,Floor ability find follow gun entire indicate ready.
Black,Yes,Male,Not listed,84933,D3,Lisa Young,2024-02-19 15:19:32.615713,Friend toward recent moment campaign traditional father.,Consider front level throughout type into hear.,Easy human tend available send majority yeah.,Late without trade from involve put off.,Build them day hand later word.,Forward body particularly generation mouth.
Asian,No,Male,Taken Into Custody,47678,D3,Heather Richards,2021-03-26 14:44:35.773697,Low to health owner.,Much me wrong vote today American couple.,Recognize laugh yeah election administration measure employee.,Officer lot fast glass unit street.,Peace strategy happen simply final recently age.,Peace event practice yourself.
Black,No,Male,Not listed,7962,D2,Angela Williamson,2022-06-21 22:55:32.221655,Whose political quality message could.,Development sign two middle international.,Effect culture under north guess personal.,Same stop never treat tree power.,Physical sing response reflect such successful.,Pick discussion important book.
Hispanic,Yes,Male,Not listed,89138,D3,James Holloway,2022-01-13 16:47:06.057764,Wrong pass theory.,Meet difference nearly between lay color.,Look program occur.,Station manage western.,National economic later civil apply source.,Woman box season operation dream.
Black,Yes,Male,Summoned/Cited,7957,D2,Amy Craig,2023-12-31 09:37:30.936481,Present reveal challenge phone market.,Computer reduce protect report note medical.,Identify man development card sure show poor.,System continue paper his from mouth eye.,Environmental safe give Mrs.,Far prevent speak world step life.
Hispanic,No,Male,Summoned/Cited,22891,D3,Mr. Eric Smith,2021-03-27 03:38:00.834110,Save career these financial matter.,Form toward idea between.,Campaign fire positive important industry exist.,Push religious outside stock news world.,High energy bag she increase.,Improve particularly management race door.
Black,No,Female,Not listed,91039,D1,Warren Powers,2024-02-13 22:59:35.490578,Responsibility community bar page important.,Imagine energy case focus peace.,Business day thank.,Smile company fall.,Science medical political arrive wrong fire.,Serious occur near.
Black,No,Female,Summoned/Cited,52177,D3,Hayley West,2023-02-02 22:59:16.500404,Republican sister American walk me air.,Assume ahead pattern bad black teach give.,Project wide result month color.,Foreign support action yet nice international performance explain.,Special push eight lose statement.,Great program soon tend audience.
Hispanic,No,Male,Summoned/Cited,83308,D1,Andrew Ponce,2021-03-07 06:12:09.901032,Heavy animal identify make.,Of cup ten section.,Begin nearly strategy about economy.,Yourself day officer risk tough piece plant.,Song job chance production.,Take office feeling.
White,No,Male,Taken Into Custody,5981,D1,Lacey Lara,2022-04-22 00:27:56.078068,Heavy garden brother paper.,Character avoid condition nearly under final on hand.,Its school decade least.,Wife appear wrong drive order capital.,Rise discuss same institution big beyond improve anything.,Read until discussion get remain.
White,Yes,Male,Taken Into Custody,39857,D3,Jessica Oliver,2023-07-25 19:20:49.955931,Spring left newspaper when.,Situation interview produce behavior animal marriage west.,Skin ten born.,Clearly want between.,Glass very agency.,Recently war heavy.
Hispanic,Yes,Male,Taken Into Custody,84493,D1,Charles Abbott,2022-12-15 14:27:01.538895,Pressure above today single organization.,Maybe nation your possible.,Show world letter.,Language cell trial although party.,Cup tree real fly.,Science member pretty interview television personal never.
Black,No,Female,Taken Into Custody,45950,D1,Sherry Nichols,2023-07-18 17:11:31.354541,A subject owner realize increase.,With public step hit use such generation.,Tonight available specific machine.,Leg yet arm themselves establish individual.,Person whose kid involve team class around.,Consumer so outside carry experience.
Black,Yes,Male,Taken Into Custody,11978,D2,Madison Moore,2023-09-15 03:02:38.060108,Early before include either special recently term behavior.,Share water movement drive boy suffer financial.,Management community spring name.,Major couple toward population represent.,Keep market account little.,Market into guess world share past entire usually.
Asian,No,Female,Not listed,1921,D3,Loretta Jackson,2023-12-17 06:03:51.538927,Body throughout light throughout every close.,Follow capital religious scientist PM do.,Always explain ask learn soon task.,Accept know challenge.,Spring population determine.,Challenge scene outside matter mean.
Black,Yes,Male,Not listed,69082,D1,Madison Lewis,2023-07-09 14:36:56.367701,Might range push others.,Still PM determine treatment physical happen.,Former force race easy.,Skin teach on according.,Degree agency it collection culture computer easy.,Model team response dream plan service family say.
White,Yes,Male,Taken Into Custody,26969,D2,Christopher Mckinney,2022-12-09 19:35:44.876790,Size I wish save last inside.,Address nature natural.,Say car always fall people test we realize.,Necessary modern American recognize.,Movie design city official analysis probably no.,Support simple however arm wear each.
Black,Yes,Female,Taken Into Custody,17913,D2,Jeremy Griffin,2021-06-16 20:10:38.122045,Effect hear voice.,Seek hold his indicate person describe.,Senior yourself student blue none evening.,Analysis either public everything realize.,Around it success visit piece serious.,American figure investment guy industry without place.
White,No,Female,Taken Into Custody,53964,D3,Roy Bennett,2022-08-19 19:01:13.809490,Yard medical career perform.,Source safe part individual.,Traditional view magazine reach.,Culture soon standard study method others form professional.,Often toward standard.,Case receive require.
White,No,Male,Summoned/Cited,27115,D3,John Carney,2022-08-06 03:42:20.549828,Yes upon that measure.,Pretty fact yet energy open.,Letter agreement meeting thank control lay.,Happen account yard family environmental contain.,Age suffer keep bill admit.,Serve run energy use throughout number do.
White,Yes,Male,Summoned/Cited,14575,D3,Diana White,2023-02-14 06:16:51.421244,Modern herself people yard agency thing.,Important if six start.,Dark eight lawyer.,Begin radio Democrat entire usually them could any.,During for for not.,Rule price talk other much in.
Asian,No,Male,Not listed,37116,D1,Scott Townsend,2022-04-10 03:42:18.072470,Us position summer movement send finally heavy.,Pull military apply within.,Degree away under begin treat strong woman.,Author point teacher military.,Experience fact oil letter model floor.,Wish yes during mission son simply energy.
Asian,Yes,Female,Not listed,8701,D1,Lori Marquez,2023-07-16 22:38:30.973861,Better tonight approach exist.,Officer democratic raise station message.,Go few than out trial successful.,Eight daughter paper some feeling best.,Effort finally smile rock better determine.,Machine human dinner current.
Black,Yes,Female,Summoned/Cited,69744,D3,Ricky Tran,2021-11-04 19:18:22.561787,Allow this general dark assume design.,Politics vote whole official use.,Benefit compare miss sing hand federal.,Lot wrong summer despite ever light probably.,Watch season wait something accept compare.,Voice animal certainly soldier market economic four.
Asian,No,Female,Taken Into Custody,43586,D3,Corey Dunn,2022-08-13 04:52:34.792915,Special stay reason real whether strong before.,Fall discussion several environmental.,Outside size international learn.,Bit together fine natural run trade whom.,Concern discover trouble.,Firm smile identify think return rest member.
White,No,Male,Not listed,66511,D2,Jacob Morrison,2021-08-22 08:10:45.815633,Bring mother however fear beat.,Simply exactly thousand center.,Quite challenge deep decide.,Process age care woman that strategy.,What deep develop set pass.,Worker great herself people scientist.
White,No,Male,Taken Into Custody,60203,D2,Charles Harrison,2022-09-17 15:35:03.804337,News ok tough against tonight few other.,Political school place provide instead card structure.,Game between program tonight than other benefit picture.,Later dinner tell.,Each rock long enough.,Factor wait say by civil any.
Hispanic,Yes,Male,Taken Into Custody,68987,D3,Barbara Jackson,2023-01-03 20:55:57.611677,Walk player policy mind dream.,Car off truth pay late night.,Same deal need collection upon feeling.,Some happen day follow food ten amount.,Order teacher civil up already pretty they.,Because every me feeling rate expect few.
Asian,No,Female,Not listed,31511,D2,Megan Jones,2024-02-14 13:32:19.337048,Claim newspaper society act heavy enter.,Bring president free garden road table before.,Free coach require heavy him.,Son say bed that into view forget.,Mention to new list.,Star easy resource religious.
Black,No,Female,Taken Into Custody,44225,D1,Brian Gilbert,2023-10-18 21:45:19.995676,Result over market argue bed rest bad.,Always item wall so few about image.,Arrive still heavy into Mrs performance foreign.,Popular about approach might.,Meet coach foreign quality.,Heavy glass forward admit prevent I.
Black,No,Male,Summoned/Cited,23734,D1,Amanda Barnett,2023-09-01 22:16:48.151065,See article within how.,Shake physical treatment live order.,Throw design door bed plant follow support.,Tonight company short local well.,Result never think not give cause she mean.,Most nice mind room smile physical.
Asian,Yes,Female,Summoned/Cited,7219,D2,Jennifer Chase,2022-01-23 22:29:18.935756,Suffer plan put book.,Half today allow role water.,Everything need party talk should remain their.,Last center prevent couple buy happen book.,Or carry matter notice expect whole matter large.,None dog detail a.
Hispanic,No,Female,Taken Into Custody,831,D1,Robert Hayes,2021-06-12 01:38:45.969139,Ability give simply light can seat.,Out often hotel from image along bad.,Most happy miss kitchen every.,Available happy find three heavy environmental prepare.,Trip beyond sign door wall pick.,Three enter soon class general perform.
Hispanic,No,Female,Not listed,55622,D2,Carl Garcia,2021-09-15 23:56:59.866688,Money capital among discuss join already.,Poor gas model save dark throughout no.,Important toward up father save.,Add upon performance town south.,Impact despite foreign high.,Laugh event truth degree.
Black,Yes,Female,Summoned/Cited,4490,D2,Abigail Patton,2023-12-02 07:18:13.808747,Offer budget name team her state.,Budget difference community firm film Congress.,Teach meet common discussion case stay my.,Card work question suggest some.,Statement rich sometimes really.,Church perhaps contain share fly trial.
Hispanic,Yes,Female,Summoned/Cited,80415,D2,Laura Brown,2021-04-02 17:06:02.453559,Speech throw add certain realize child.,Free memory moment door past budget leg.,Republican join project process phone method possible.,Relationship cut experience condition.,Fear different task hundred believe today.,Smile suddenly far project.
Asian,No,Male,Taken Into Custody,88841,D2,Karen Fernandez,2021-12-24 19:49:43.587396,Site next against catch military assume.,Vote against development surface know look sell.,Car everyone green for six.,Station interview thank Mr agent.,Step important stuff pressure.,Tend first increase at action.
Hispanic,No,Male,Taken Into Custody,16664,D3,Jennifer Clark,2023-11-03 18:03:33.881623,Value office able group.,Reason health page seat various.,Look already five around office.,Either now mean matter win theory.,Commercial husband protect join consumer.,Next do authority character shake.
Hispanic,Yes,Female,Not listed,10358,D3,Kevin Calhoun,2022-03-10 22:32:22.305546,Ground act seek.,Music kid follow.,Yet two visit involve child light heart.,Better second lead billion first support.,Agreement seem hard goal.,Industry author pass thus.
Black,No,Female,Not listed,92364,D3,Carrie Hall,2022-01-05 17:47:33.444332,Current war while want line consumer.,Yourself discover contain represent particularly itself.,Boy billion report low explain how.,Consumer final trip month whom team back.,Team prevent run never.,About expert wait me interesting per.
Black,No,Male,Summoned/Cited,67679,D2,Joseph Nguyen,2023-08-30 19:08:22.215173,Which happen everybody may discussion possible.,Western you country during describe.,Trade effect item audience price almost experience.,Build back site listen.,Especially across ground pretty before.,Every either born run ask air.
Asian,No,Female,Summoned/Cited,4669,D1,Vicki Rodriguez,2022-08-27 01:45:51.628945,Hot defense race foot large wind guess line.,Smile few wind.,Watch many four church idea out.,Let tree couple general.,Seem too instead check network fire final.,Into word end for.
White,No,Female,Summoned/Cited,48125,D1,Peggy Richardson,2023-09-18 19:39:22.524196,Since score set seem admit probably.,Debate discuss bank fall left.,Amount hotel student lawyer stuff.,Teacher daughter them season.,Out than we deal kid option.,Quickly challenge stop off.
Black,No,Female,Not listed,77635,D3,Miss Jennifer Miller DVM,2023-06-05 03:49:57.121793,Tree pull send remain issue high.,Lot leader develop drug.,Wonder wear wife much less.,Great again debate different although win.,Sure know boy world.,Call should unit subject.
White,No,Male,Not listed,82882,D3,Tracy Carlson,2023-02-07 06:56:28.404650,Sense keep reason lot.,Major page what air capital.,Person each mother final conference American.,Cover reason base million.,Culture manager spring spend through.,Energy central staff much American usually.
White,No,Female,Summoned/Cited,9513,D3,Melissa Flynn,2021-09-20 13:29:44.494239,Government sometimes lawyer eat hair police left late.,Speak teacher bank up public simple his.,Million after involve wrong big.,Believe the seem.,Deep prepare participant play.,Board between key station.
Black,Yes,Male,Not listed,92629,D3,Kent Jackson,2022-10-09 16:38:16.861978,Center list others parent full place box.,Write time property recognize.,Dog key relate environment management too rock.,Visit left whatever art evidence everybody.,Start say film face live.,Enter feeling open television.
Black,Yes,Male,Not listed,55544,D2,Rebecca Brown,2021-06-07 05:19:22.047325,Degree maybe line beautiful.,Economy night election enter point happen.,Sort head firm husband term.,Such leg seven two fear.,Son should mission try culture.,Anyone ability tend stock.
Black,No,Female,Taken Into Custody,11437,D1,Charles Bowen,2021-11-14 03:09:59.035145,Financial eye along stand film entire property.,Know factor last.,Open address choice.,Ok impact attorney art stand when wife.,Member never cover phone.,Crime total high reduce positive huge.
Asian,No,Male,Summoned/Cited,42535,D2,Jonathan Cortez,2023-11-15 02:44:56.308941,Plant quickly cause still feel.,Lay environmental own left man.,Reflect little information middle argue drug brother.,Mean public writer total.,Live though range dog.,Cover build cup nature.
White,No,Female,Not listed,15351,D3,George Hinton,2023-07-06 14:36:52.870018,Staff bank me life.,Answer enter yet federal few issue.,Quite cultural toward national deep scene.,Sometimes item final mind door medical.,Instead past turn always.,Day public teacher item science popular.
Black,Yes,Male,Not listed,63529,D3,Sandra Becker,2021-11-06 07:38:24.605419,Involve skill end miss.,With until yourself down.,Continue up collection despite interest report treat receive.,Wear professional fund serve training hour.,Herself computer major truth imagine.,Expert recent at about deal fact.
Hispanic,No,Male,Not listed,73489,D3,Kimberly Le,2023-01-26 06:56:59.614847,Rise particular seek because.,Alone today provide actually.,Arm two scientist account reduce American activity.,Fine woman commercial there early economy tax account.,Rather eight near me one pass throughout.,Remain guess those recently operation phone phone.
White,No,Male,Not listed,82949,D2,Gregory Huff,2022-10-04 16:31:40.532154,Article close sing six nice indicate test.,Better involve night magazine way several.,Worker safe its.,Growth boy political television marriage.,Much not assume both.,Campaign north country change area word.
Asian,Yes,Male,Not listed,67502,D1,Rachel Young,2021-11-14 18:34:28.890148,Language product charge though.,Its analysis someone under son.,Morning factor begin will.,Difference raise power garden.,Special responsibility father decision however beat late general.,Ready whole college research live.
Asian,No,Male,Taken Into Custody,33941,D1,Andrew Hall,2023-06-21 14:20:08.133844,Could another class them bad far.,Girl certain plan to member point opportunity.,Decision allow quickly everything great every herself city.,Prevent author big control.,Stop likely product chance.,Within common now just kid term value.
Hispanic,Yes,Male,Not listed,94645,D2,Benjamin Walter,2021-04-13 10:11:02.505587,Usually watch throughout capital clear.,Technology reason good cell decide yes step.,Fear me focus good himself.,Month past today sit.,Ask individual job area some firm east little.,Garden by box item good add poor data.
Black,No,Male,Taken Into Custody,82202,D3,Joseph Hamilton,2021-04-23 07:01:37.813269,Recent buy their whole ahead machine outside spend.,Under style hotel research skill still join idea.,Newspaper present already long fear.,Production reveal behavior memory someone most center.,Generation tend answer really officer.,Team key present test help system recognize.
Asian,No,Male,Not listed,60828,D2,Johnny Reese,2023-08-09 13:52:42.379516,Next indeed two station.,On either reach job significant edge film.,Enjoy would operation clearly owner prevent.,Production first cell tree.,Ten moment candidate figure thought team business.,Politics culture production experience enough.
Asian,Yes,Female,Not listed,39451,D3,Douglas Wilson,2024-02-08 17:10:33.029489,Suffer to least cultural even alone.,Expect bank name protect to.,Wife pick left middle technology country southern quickly.,Charge full two several ok sometimes church someone.,Catch course another list ability job little she.,Arrive knowledge audience challenge account certainly others PM.
Asian,Yes,Female,Taken Into Custody,27902,D2,William Quinn,2024-02-10 15:01:17.812710,Check military expect this.,Chair he laugh great company.,Drop dark six speak.,Growth we cost state Congress energy necessary.,Child owner national executive power.,Eat person enter arrive.
Black,Yes,Female,Summoned/Cited,94034,D2,John Mcgee,2023-08-26 15:02:23.712779,Politics describe order conference statement figure culture.,If foot resource president Democrat situation will.,Store way myself.,Hair board buy rich test.,Especially wide set back seem.,Bit officer relate maintain compare understand them.
White,No,Male,Not listed,91741,D2,Allen Thompson,2023-12-03 16:48:19.420842,Itself sea either head.,Along argue now economy really.,Statement deep follow reality let student glass term.,Church five form.,People win age.,End any mean certain pick.
White,Yes,Female,Not listed,33152,D3,Gabrielle Owens,2021-07-13 22:19:16.528283,People federal there his single check.,Tough nature research a economic section on.,Real majority speech kid also.,Hope enough newspaper bad explain account activity put.,Step herself class administration stage.,Word tax along hour remember.
Hispanic,Yes,Male,Taken Into Custody,22556,D3,Brittany Lowe,2023-09-08 21:43:27.690579,Great south save white job consider.,Break time may similar.,Two him mention single man first anyone.,Start talk rather affect anything politics.,Account social cause fear.,Center smile various budget all writer section.
Hispanic,Yes,Female,Taken Into Custody,40345,D3,Tami Haley,2021-08-25 06:32:53.254688,Particularly beyond see concern bring.,Human rise single people lead.,Food or back tough name check forward rock.,Cup each run explain.,Stay reveal local.,Together economy program effect land also you strong.
Black,Yes,Male,Taken Into Custody,52009,D3,Debbie Harris,2023-01-02 15:52:18.447279,Truth change apply summer.,Fast young interest likely discover only heart.,International party listen late our federal.,Investment economic value himself.,Language national affect any respond different.,Charge continue list.
Black,No,Male,Summoned/Cited,47943,D1,Eric Garrett,2023-09-03 02:50:24.486005,Clear agency cultural opportunity current either music manage.,Left realize six different.,Always threat simple reveal.,Girl while dinner team sense.,Person much himself ok.,Difficult meet cold view group than.
Black,No,Male,Not listed,34493,D3,Madeline Ortiz,2021-10-22 18:41:44.128702,Yard it production cover from agent human hundred.,Wife own international appear go grow military.,Six whatever bad play source husband social.,Though specific oil place many.,Station treatment institution past.,Despite a away accept what rather.
White,No,Female,Summoned/Cited,97360,D1,Miss Melanie Gonzales,2022-04-07 00:22:28.915080,Industry though quickly morning her level.,Animal crime medical pull.,The serve late arrive those now then.,Source which ten responsibility.,It scientist song writer sport any option.,Teacher anything six relationship.
White,Yes,Male,Taken Into Custody,75299,D3,Bruce Long,2021-09-10 22:38:45.220140,Debate never behavior only Mrs have.,Government suffer simple customer cup dark.,Politics woman start realize treat.,Today simple opportunity expert despite lose.,Clear idea contain blue rock dark foot.,Technology person produce thus.
Hispanic,Yes,Male,Summoned/Cited,4196,D3,Elizabeth Cook,2021-02-26 23:42:50.396251,Push military into help attorney.,The be agree mission.,Positive major firm month team appear impact.,Beyond baby arm consider.,Collection security relate.,Item brother game tough avoid represent activity.
Black,Yes,Male,Summoned/Cited,38398,D1,Martin Lewis,2021-03-22 05:48:11.252848,Expert air fall describe.,Shoulder source something.,Word move Mr force star sure green.,Become generation painting tell.,Appear image candidate least physical.,Network station a season tonight coach.
White,No,Female,Taken Into Custody,40482,D3,Seth Robinson,2023-02-13 15:56:20.438617,Brother everybody mean western lead model executive.,Less nearly sort.,Three too baby moment economy car politics.,Ok late memory teacher same central baby.,Young should tell.,Air ago bit better discuss floor left.
Black,Yes,Male,Not listed,77161,D1,William Bates,2023-04-11 13:40:27.741610,Cold this guy another tonight out almost.,Either admit especially evening.,Couple them sit meet.,Federal rich trouble heart expect.,Hold term environment imagine fall popular.,Item company bed wall.
Black,Yes,Male,Taken Into Custody,14711,D3,Gregory Fisher,2021-05-04 09:41:36.297239,For four quickly job assume list.,Again war compare wear.,Food father society consider fly.,Avoid into far fill.,Our cultural may less may effect bag.,Mr million box state dark travel.
White,Yes,Male,Taken Into Custody,65646,D3,Keith Valdez,2023-09-19 03:06:06.484151,Owner popular first entire.,Paper seem already civil.,Speech husband threat unit yard military shake war.,Apply late leg apply.,Red special information up.,Head interesting statement push phone himself ago.
Black,Yes,Male,Not listed,89566,D3,Scott Taylor,2023-06-10 03:40:23.124378,Mouth fine risk them.,Expect off western simple.,Effort fear later decide significant data however.,Simply return far fly your class child.,Step ball old believe.,Keep huge court leave amount.
Asian,No,Male,Taken Into Custody,90591,D1,Lauren Allen,2021-09-07 15:04:57.353802,Gas billion opportunity time.,Information attorney successful he however.,Special own have billion impact hospital stuff.,Present international serve determine dream air security.,Happen left production the building card.,Candidate itself writer amount car.
Asian,No,Female,Summoned/Cited,77918,D2,Ashley Brandt,2024-02-09 13:05:19.518134,Plan his successful edge similar sound.,Play large fly environmental financial boy short style.,Picture trip cover able strong.,Nearly a finish mother sign.,Suffer born painting easy during send.,Science spring design find meeting late person.
Asian,No,Male,Not listed,98270,D3,John Hughes,2021-11-11 05:30:48.408473,Court well near skill police wait.,Around responsibility ground read choice its.,Political or thank involve improve fine.,Anyone send item rise reveal agent do.,Week lot agreement none travel be book.,Where technology must teacher.
Black,No,Female,Not listed,47055,D3,Thomas Vega,2023-10-06 22:12:45.301173,Still argue he.,Surface paper sure role.,Type evidence population particularly player green.,Already reduce foot pull her certainly arrive.,Most difference step door something.,Late necessary assume down try available later.
Asian,No,Female,Taken Into Custody,17628,D3,Jennifer Macias,2021-05-04 06:40:17.080224,West risk reveal party.,Then financial political administration.,Itself everyone manager rate campaign.,Buy it light society.,Experience head Republican usually herself.,Free goal minute road region energy the trade.
